car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,region,fair_price,deviation_pct,cluster,cluster_name,manipulated,manipulation_prob,dev_bucket
2018 Skoda Rapid,1.5 TDI AT AMBITION,Automatic,32244,1st Owner,Diesel,DL-8C,806000,DL,946100.0,-0.14808159813973154,1,underpriced,0,0.0,under
2015 HYUNDAI ELITE I20,SPORTZ 1.2,Manual,32762,1st Owner,Petrol,DL-1C,544000,DL,573700.0,-0.051769217360990064,1,underpriced,0,0.0,under
2015 Maruti Swift,LXI (O),Manual,71434,2nd Owner,Petrol,DL-14,362000,DL,393600.0,-0.08028455284552846,2,normal,0,0.0,under
2013 HYUNDAI I10,ERA 1.1 IRDE,Manual,50384,1st Owner,Petrol,HR-26,270350,HR,521535.0,-0.481626352977269,2,normal,1,1.0,deep_under
2012 Honda Jazz,1.2L I-VTEC SELECT,Manual,51440,1st Owner,Petrol,DL-5C,299000,DL,424400.0,-0.2954759660697455,2,normal,0,0.0,deep_under
2020 Maruti Swift,LXI,Manual,26600,1st Owner,Petrol,DL-2C,572000,DL,440800.0,0.29764065335753176,0,overpriced,0,0.0,deep_over
2014 VOLKSWAGEN VENTO,HIGHLINE 1.2 TSI AT,Automatic,535,2nd Owner,Petrol,DL-3C,467000,DL,632200.0,-0.26130971211641885,1,underpriced,0,0.0,deep_under
2011 Maruti SWIFT,VXI,Manual,27022,1st Owner,Petrol,DL-8C,275000,DL,466700.0,-0.4107563745446754,1,underpriced,1,1.0,deep_under
2017 HYUNDAI GRAND I10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,46608,1st Owner,CNG,DL-8C,579000,DL,582625.0,-0.006221840806693842,2,normal,0,0.0,fair
2019 FORD ECOSPORT,1.5TITANIUM TDCI,Manual,41955,1st Owner,Diesel,UP-16,801000,UP,903000.0,-0.11295681063122924,1,underpriced,0,0.0,under
2013 Hyundai i20,MAGNA 1.2 VTVT,Manual,85306,1st Owner,Petrol,DL-8C,340000,DL,457600.0,-0.256993006993007,2,normal,0,0.0,deep_under
2016 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,Manual,32353,1st Owner,Petrol,DL-12,498000,DL,496900.0,0.0022137250955926746,1,underpriced,0,0.0,fair
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,37511,1st Owner,Petrol,DL-8C,453000,DL,445600.0,0.01660682226211849,1,underpriced,0,0.0,fair
2014 Maruti Ertiga,VXI,Manual,94052,2nd Owner,Petrol,DL-2C,569000,DL,428700.0,0.3272684861208304,2,normal,1,1.0,deep_over
2018 Maruti Vitara Brezza,VDI,Manual,98557,1st Owner,Diesel,HR-27,642000,HR,814000.0,-0.2113022113022113,2,normal,0,0.0,deep_under
2016 HYUNDAI NEW ELANTRA,2.0 SX AT PETROL,Automatic,39077,1st Owner,Petrol,UP-16,1113000,UP,946560.0,0.1758367139959432,0,overpriced,0,0.0,over
2018 Maruti S CROSS,ZETA 1.3,Manual,64911,1st Owner,Diesel,DL-10,702000,DL,769600.0,-0.08783783783783784,2,normal,0,0.0,under
2020 Hyundai VENUE,SMT 1.5 CRDI,Manual,40734,1st Owner,Diesel,HR-52,833000,HR,1155825.0,-0.2793026626003071,1,underpriced,0,0.0,deep_under
2013 Hyundai Santro Xing,GL PLUS,Manual,43964,1st Owner,Petrol,DL-3C,250000,DL,546100.0,-0.5422083867423548,1,underpriced,1,1.0,deep_under
2014 Honda Amaze,1.2 EMT I VTEC,Manual,39406,1st Owner,Petrol,DL-8C,401000,DL,443520.0,-0.09586940836940837,1,underpriced,0,0.0,under
2016 Honda Amaze,1.2 SX MT I VTEC,Manual,84309,2nd Owner,CNG,DL-12,539000,DL,491300.0,0.09708935477305108,2,normal,0,0.0,over
2018 Hyundai Elite i20,MAGNA EXECUTIVE 1.2,Manual,53067,1st Owner,Petrol,HR-30,565000,HR,513135.0,0.10107476589981194,2,normal,0,0.0,over
2018 Maruti IGNIS,DELTA 1.2 K12,Manual,29913,1st Owner,Petrol,HR-13,465000,HR,690100.0,-0.32618461092595274,1,underpriced,1,1.0,deep_under
2015 HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,56871,1st Owner,Petrol,DL-8C,369000,DL,418700.0,-0.11870074038691188,2,normal,0,0.0,under
2021 Maruti SWIFT,VXI,Manual,0,1st Owner,Petrol,HR-51,689000,HR,611400.0,0.12692181877657835,1,underpriced,0,0.0,over
2020 Volkswagen Vento,HIGHLINE PLUS 1.0 TSI MT,Manual,6323,1st Owner,Petrol,UP-32,949000,UP,824600.0,0.15086102352655834,1,underpriced,0,0.0,over
2019 TATA Harrier,XM 2.0L Kryotec,Manual,49585,1st Owner,Diesel,HR-26,1174000,HR,1198000.0,-0.02003338898163606,2,normal,0,0.0,fair
2022 Nissan MAGNITE,XV PREMIUM MT,Manual,3008,1st Owner,Petrol,HR-51,867000,HR,847300.0,0.023250324560368227,1,underpriced,0,0.0,fair
2014 Hyundai Elite i20,ASTA 1.2,Manual,82575,1st Owner,Petrol,DL-9C,485000,DL,492500.0,-0.015228426395939087,2,normal,0,0.0,fair
2018 VOLKSWAGEN TIGUAN,HIGHLINE A/T,Automatic,88800,1st Owner,Diesel,DL-10,2069000,DL,1192300.0,0.7353015180743102,0,overpriced,1,1.0,deep_over
2021 Maruti Dzire,VXI AMT,Automatic,24467,1st Owner,Petrol,DL-2C,716000,DL,793600.0,-0.09778225806451613,1,underpriced,0,0.0,under
2014 Honda Amaze,1.2L I-VTEC E,Manual,17202,1st Owner,Petrol,DL-4C,361000,DL,607500.0,-0.405761316872428,1,underpriced,1,1.0,deep_under
2021 KIA SONET,HTX 1.0 IMT,Manual,18786,2nd Owner,Petrol,DL-3C,1031000,DL,709600.0,0.4529312288613303,0,overpriced,1,1.0,deep_over
2021 KIA SONET,GTX PLUS 1.0 DCT,Automatic,25964,1st Owner,Petrol,HR-06,1272000,HR,987200.0,0.2884927066450567,0,overpriced,0,0.0,deep_over
2021 Honda City,V MT PETROL,Manual,5785,1st Owner,Petrol,DL-4C,1048000,DL,902600.0,0.1610901839131398,1,underpriced,0,0.0,over
2022 Hyundai VENUE,S MT 1.2 KAPPA,Manual,15163,1st Owner,Petrol,DL-7C,867000,DL,639500.0,0.3557466770914777,0,overpriced,1,1.0,deep_over
2013 Hyundai i10,SPORTZ 1.2,Manual,21545,1st Owner,Petrol,HR-51,302000,HR,624600.0,-0.5164905539545309,1,underpriced,1,1.0,deep_under
2021 Skoda Rapid,MONTE CARLO 1.0 MT,Manual,35196,1st Owner,Petrol,DL-10,1057000,DL,537600.0,0.9661458333333334,0,overpriced,1,1.0,deep_over
2021 Hyundai NEW I20,MAGNA 1.2 MT,Manual,18141,1st Owner,Petrol,DL-12,736000,DL,684200.0,0.07570885705933937,1,underpriced,0,0.0,over
2020 Maruti Ciaz,1.5 SIGMA SHVS,Manual,78567,1st Owner,Petrol,DL-1C,713000,DL,564900.0,0.2621702956275447,2,normal,0,0.0,deep_over
