car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2011 Hyundai i20,MAGNA O 1.2,Manual,"71,274 km",2nd Owner,Petrol,DL-8C,"₹2,39,000"
2017 Honda City,V CVT,Automatic,"81,702 km",2nd Owner,Petrol,DL-1C,"₹7,34,000"
2021 HYUNDAI CRETA,S 1.5 PETROL,Manual,"24,849 km",1st Owner,Petrol,HR-51,"₹13,42,000"
2013 HYUNDAI I20,MAGNA (O) 1.2,Manual,"37,065 km",1st Owner,Petrol,DL-3C,"₹3,53,000"
2022 Tata TIGOR,XZ CNG,Manual,"19,474 km",1st Owner,CNG,DL-7C,"₹8,06,000"
2019 MG HECTOR,SUPER DIESEL ,Manual,"53,140 km",2nd Owner,Diesel,HR-26,"₹12,82,000"
2018 Skoda Rapid,1.5 TDI AT AMBITION,Automatic,"32,244 km",1st Owner,Diesel,DL-8C,"₹8,06,000"
2015 HYUNDAI ELITE I20,SPORTZ 1.2,Manual,"32,762 km",1st Owner,Petrol,DL-1C,"₹5,44,000"
2015 Maruti Swift,LXI (O),Manual,"71,434 km",2nd Owner,Petrol,DL-14,"₹3,62,000"
2013 HYUNDAI I10,ERA 1.1 IRDE,Manual,"50,384 km",1st Owner,Petrol,HR-26,"₹2,70,350"
2012 Honda Jazz,1.2L I-VTEC SELECT,Manual,"51,440 km",1st Owner,Petrol,DL-5C,"₹2,99,000"
2020 Maruti Swift,LXI,Manual,"26,600 km",1st Owner,Petrol,DL-2C,"₹5,72,000"
2014 VOLKSWAGEN VENTO,HIGHLINE 1.2 TSI AT,Automatic,535 km,2nd Owner,Petrol,DL-3C,"₹4,67,000"
2011 Maruti SWIFT,VXI,Manual,"27,022 km",1st Owner,Petrol,DL-8C,"₹2,75,000"
2017 HYUNDAI GRAND I10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"46,608 km",1st Owner,CNG,DL-8C,"₹5,79,000"
2019 FORD ECOSPORT,1.5TITANIUM TDCI,Manual,"41,955 km",1st Owner,Diesel,UP-16,"₹8,01,000"
2013 Hyundai i20,MAGNA 1.2 VTVT,Manual,"85,306 km",1st Owner,Petrol,DL-8C,"₹3,40,000"
2016 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,Manual,"32,353 km",1st Owner,Petrol,DL-12,"₹4,98,000"
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"37,511 km",1st Owner,Petrol,DL-8C,"₹4,53,000"
2014 Maruti Ertiga,VXI,Manual,"94,052 km",2nd Owner,Petrol,DL-2C,"₹5,69,000"
2018 Maruti Vitara Brezza,VDI,Manual,"98,557 km",1st Owner,Diesel,HR-27,"₹6,42,000"
2016 HYUNDAI NEW ELANTRA,2.0 SX AT PETROL,Automatic,"39,077 km",1st Owner,Petrol,UP-16,"₹11,13,000"
2018 Maruti S CROSS,ZETA 1.3,Manual,"64,911 km",1st Owner,Diesel,DL-10,"₹7,02,000"
2020 Hyundai VENUE,SMT 1.5 CRDI,Manual,"40,734 km",1st Owner,Diesel,HR-52,"₹8,33,000"
2013 Hyundai Santro Xing,GL PLUS,Manual,"43,964 km",1st Owner,Petrol,DL-3C,"₹2,50,000"
2014 Honda Amaze,1.2 EMT I VTEC,Manual,"39,406 km",1st Owner,Petrol,DL-8C,"₹4,01,000"
2016 Honda Amaze,1.2 SX MT I VTEC,Manual,"84,309 km",2nd Owner,CNG,DL-12,"₹5,39,000"
2018 Hyundai Elite i20,MAGNA EXECUTIVE 1.2,Manual,"53,067 km",1st Owner,Petrol,HR-30,"₹5,65,000"
2018 Maruti IGNIS,DELTA 1.2 K12,Manual,"29,913 km",1st Owner,Petrol,HR-13,"₹4,65,000"
2015 HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,"56,871 km",1st Owner,Petrol,DL-8C,"₹3,69,000"
2021 Maruti SWIFT,VXI,Manual,0 km,1st Owner,Petrol,HR-51,"₹6,89,000"
2020 Volkswagen Vento,HIGHLINE PLUS 1.0 TSI MT,Manual,"6,323 km",1st Owner,Petrol,UP-32,"₹9,49,000"
2019 TATA Harrier,XM 2.0L Kryotec,Manual,"49,585 km",1st Owner,Diesel,HR-26,"₹11,74,000"
2022 Nissan MAGNITE,XV PREMIUM MT,Manual,"3,008 km",1st Owner,Petrol,HR-51,"₹8,67,000"
2014 Hyundai Elite i20,ASTA 1.2,Manual,"82,575 km",1st Owner,Petrol,DL-9C,"₹4,85,000"
2018 VOLKSWAGEN TIGUAN,HIGHLINE A/T,Automatic,"88,800 km",1st Owner,Diesel,DL-10,"₹20,69,000"
2021 Maruti Dzire,VXI AMT,Automatic,"24,467 km",1st Owner,Petrol,DL-2C,"₹7,16,000"
2014 Honda Amaze,1.2L I-VTEC E,Manual,"17,202 km",1st Owner,Petrol,DL-4C,"₹3,61,000"
2021 KIA SONET,HTX 1.0 IMT,Manual,"18,786 km",2nd Owner,Petrol,DL-3C,"₹10,31,000"
2021 KIA SONET,GTX PLUS 1.0 DCT,Automatic,"25,964 km",1st Owner,Petrol,HR-06,"₹12,72,000"
